,ID,title,abstract,date,doi,author_corresponding,author_corresponding_institution,source,eligible
228,32444382,Antiviral Efficacies of FDA-Approved Drugs against SARS-CoV-2 Infection in Ferrets.,"Due to the urgent need of a therapeutic treatment for coronavirus (CoV) disease 2019 (COVID-19) patients, a number of FDA-approved/repurposed drugs have been suggested as antiviral candidates at clinics, without sufficient information. Furthermore, there have been extensive debates over antiviral candidates for their effectiveness and safety against severe acute respiratory syndrome CoV 2 (SARS-CoV-2), suggesting that rapid preclinical animal studies are required to identify potential antiviral ",03/06/2020,10.1128/mBio.01114-20,Su-Jin Park,"Department of Microbiology, Chungbuk National University College of Medicine and Medical Research Institute, Cheongju, Republic of Korea",pubmed,0
229,32442040,"SARS-CoV-2, from its current highly contagious spreading toward the global development of an effective and safe vaccine: challenges and uncertainties.",NA,10/08/2020,10.1080/14740338.2020.1773789,Domenico Merante,"Global Clinical Development , Amersham, UK",pubmed,0
230,32441894,Why Challenge Trials of SARS-CoV-2 Vaccines Could Be Ethical Despite Risk of Severe Adverse Events.,"Human challenge trials to test the efficacy of vaccine candidates against SARS-CoV-2, the novel coronavirus behind Covid-19, could save considerable time and many lives. But they may initially seem unethical because they expose healthy volunteers to a live virus that is killing many people and for which no cure exists. This article argues that this is not the correct test of their ethics. The correct test is comparative. And in the special circumstances of the Covid-19 pandemic, human challenge ",27/07/2020,10.1002/eahr.500056,Nir Eyal,"Directs the Center for Population-Level Bioethics at Rutgers University and is the Henry Rutgers professor of bioethics in the Department of Health Behavior, Society and Policy at Rutgers School of Public Health and in the Department of Philosophy at Rutgers's School of Arts and Sciences",pubmed,0
231,32439768,Long-acting drug acts like a short-term AIDS vaccine.,NA,11/06/2020,10.1126/science.368.6493.807,Jon Cohen,NA,pubmed,0
232,32437659,Trained Immunity: a Tool for Reducing Susceptibility to and the Severity of SARS-CoV-2 Infection.,"SARS-CoV-2 infection is mild in the majority of individuals but progresses into severe pneumonia in a small proportion of patients. The increased susceptibility to severe disease in the elderly and individuals with co-morbidities argues for an initial defect in anti-viral host defense mechanisms. Long-term boosting of innate immune responses, also termed &quot;trained immunity,&quot; by certain live vaccines (BCG, oral polio vaccine, measles) induces heterologous protection against infections th",05/06/2020,10.1016/j.cell.2020.04.042,Mihai G Netea,"Department of Internal Medicine and Center for Infectious Diseases, Radboud University, 6500 Nijmegen, the Netherlands",pubmed,0
233,32437587,COVID-19 vaccines: Knowing the unknown.,"Vaccine development against SARS-CoV-2 has drawn attention around the globe due to the exploding pandemic. Although COVID-19 is caused by a new coronavirus, SARS-CoV-2, previous research on other coronavirus vaccines, such as FIPV, SARS, and MERS, has provided valuable information for the rapid development of COVID-19 vaccine. However, important knowledge gaps remain - some are specific to SARS-CoV-2, others are fundamental to immunology and vaccinology. Here, we discuss areas that need to be ad",08/07/2020,10.1002/eji.202048663,Huibin Lv,"HKU-Pasteur Research Pole, School of Public Health, Li Ka Shing Faculty of Medicine, The University of Hong Kong, Hong Kong SAR, China",pubmed,0
234,32434788,"COVID-19 and lung cancer: risks, mechanisms and treatment interactions.","Cases of the 2019 novel coronavirus also known as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) continue to rise worldwide. To date, there is no effective treatment. Clinical management is largely symptomatic, with organ support in intensive care for critically ill patients. The first phase I trial to test the efficacy of a vaccine has recently begun, but in the meantime there is an urgent need to decrease the morbidity and mortality of severe cases. It is known that patients with",29/05/2020,10.1136/jitc-2020-000892,Alfredo Addeo,"Oncology, University Hospitals Geneva, Geneve, Switzerland alfredo.addeo@hcuge",pubmed,0
235,32425691,International Society for Extracellular Vesicles and International Society for Cell and Gene Therapy statement on extracellular vesicles from mesenchymal stromal cells and other cells: considerations for potential therapeutic agents to suppress coronavirus disease-19.,"The International Society for Cellular and Gene Therapies (ISCT) and the International Society for Extracellular Vesicles (ISEV) recognize the potential of extracellular vesicles (EVs, including exosomes) from mesenchymal stromal cells (MSCs) and possibly other cell sources as treatments for COVID-19. Research and trials in this area are encouraged. However, ISEV and ISCT do not currently endorse the use of EVs or exosomes for any purpose in COVID-19, including but not limited to reducing cytoki",07/09/2020,10.1016/j.jcyt.2020.05.002,Verena B..rger,"Institute for Transfusion Medicine, University Hospital Essen, University of Duisburg-Essen, Essen, Germany",pubmed,0
236,32425638,Reducing mortality and morbidity in patients with severe COVID-19 disease by advancing ongoing trials of Mesenchymal Stromal (stem) Cell (MSC) therapy - Achieving global consensus and visibility for cellular host-directed therapies.,"As of May 17th 2020, the novel coronavirus disease 2019 (COVID-19) pandemic has caused 307,395 deaths worldwide, out of 3,917,366 cases reported to the World Health Organization. No specific treatments for reducing mortality or morbidity are yet available. Deaths from COVID-19 will continue to rise globally until effective and appropriate treatments and/or vaccines are found. In search of effective treatments, the global medical, scientific, pharma and funding communities have rapidly initiated ",28/07/2020,10.1016/j.ijid.2020.05.040,Alimuddin Zumla,"Department of Infection, Division of Infection and Immunity, University College London, and National Institutes of Health and Research Biomedical Research Centre, University College London Hospitals NHS Foundation Trust, London, United Kingdom. Electronic address: a.zumla@ucl.ac",pubmed,0
237,32425416,The role of an Orthopaedic Surgeon in the time of Covid-19 Pandemic-a German perspective.,"Covid-19 is a non-orthopaedic disease but is affecting the community of Orthopaedics as much as every part of our daily living. In this Editorial the different aspects of changes in our routine are described, based on the experience of this Editor in Germany. I will try to give you a bit of background information first, as the situation is very much dependent on the specific phase of the pandemic and your place of work. The experience for an Orthopaedic Surgeon in New York or Madrid may differ f",22/05/2020,10.1016/j.jor.2020.05.010,Heiko Graichen,"Department for Arthroplasty, Orthopaedic Hospital Asklepios Lindenlohe, Lindenlohe 18, 92421 Schwandorf, Germany",pubmed,0
238,32423342,COVID-19 pandemic: what can pharmaceutical formulation and drug delivery experts offer?,NA,21/05/2020,10.1080/10837450.2020.1764670,Raid G Alany,"Professor of Pharmaceutical Formulation and Drug Delivery, Kingston University London, Kingston upon Thames, UK",pubmed,0
239,32420637,Repurposing current therapeutics for treating COVID-19: A vital role of prescription records data mining.,"Since its outbreak in late 2019, the SARS-Cov-2 pandemic already infected over 3.7 million people and claimed more than 250,000 lives globally. At least 1...year may take for an approved vaccine to be in place, and meanwhile millions more could be infected, some with fatal outcome. Over thousand clinical trials with COVID-19 patients are already listed in ClinicalTrials.com, some of them for assessing the utility of therapeutics approved for other conditions. However, clinical trials take many m",09/09/2020,10.1002/ddr.21689,David Gurwitz,"Department of Human Molecular Genetics and Biochemistry, Sackler Faculty of Medicine, Tel Aviv, Israel",pubmed,0
240,32417802,The changing landscape of SARS-CoV-2: Implications for the maternal-infant dyad.,"The COVID-19 pandemic represents the greatest challenge to date faced by the medical community in the 21st century. The rate of rapid dissemination, magnitude of viral contagiousness, person to person transmission at an asymptomatic phase of illness pose a unique and dangerous challenge for all patients, including neonatal and obstetric patients. Although scientific understanding of the pathophysiology of the disease, nature of transmission, and efficacy of mitigation strategies is growing, neit",15/09/2020,10.3233/NPM-200460,T G Elgin,"Stead Family Children's Hospital Department of Pediatrics, Neonatology Division, University of Iowa, Iowa City, IA, USA",pubmed,0
241,32414757,Ethical considerations for epidemic vaccine trials.,"Vaccines are a powerful measure to protect the health of individuals and to combat outbreaks such as the COVID-19 pandemic. An ethical dilemma arises when one effective vaccine has been successfully developed against an epidemic disease and researchers seek to test the efficacy of another vaccine for the same pathogen in clinical trials involving human subjects. On the one hand, there are compelling reasons why it would be unethical to trial a novel vaccine when an effective product exists alrea",16/07/2020,10.1136/medethics-2020-106235,Joshua Teperowski Monrad,"Program in Ethics, Politics, and Economics, Yale University, New Haven, CT, USA joshua.monrad@yale",pubmed,0
242,32412556,"Characterization of the COVID-19 pandemic and the impact of uncertainties, mitigation strategies, and underreporting of cases in South Korea, Italy, and Brazil.","By April 7th, 2020, the Coronavirus disease 2019 (COVID-19) has infected one and a half million people worldwide, accounting for over 80 thousand of deaths in 209 countries and territories around the world. The new and fast dynamics of the pandemic are challenging the health systems of different countries. In the absence of vaccines or effective treatments, mitigation policies, such as social isolation and lock-down of cities, have been adopted, but the results vary among different countries. So",25/08/2020,10.1016/j.chaos.2020.109888,Ruy Freitas Reis,"Departamento de Ci..ncia da Computa....o, Universidade Federal de Juiz de Fora, Brazil",pubmed,0
243,32410772,Emerging pharmacotherapies for COVID-19.,"Novel Corona-virus Disease 2019 (nCOVID 19) is caused by a novel virulent corona virus and leads to potentially fatal virulent pneumonia and severe respiratory distress syndrome. It was initially declared as public health emergency if international concern by WHO followed by Pandemic on 12th March 2020. As of 10th April 2020, more than 1.5 million people are affected globally with around 95,000 deaths. Vaccines for this deadly virus are currently under development and many drugs used for other i",30/06/2020,10.1016/j.biopha.2020.110267,Rachana Salvi,Department of Pharmacology &amp,pubmed,0
244,32410758,Consider pregnancy in COVID-19 therapeutic drug and vaccine trials.,NA,29/05/2020,10.1016/S0140-6736(20)31029-1,Clare L Whitehead,"Department of Obstetrics and Gynaecology, University of Melbourne, Parkville, VIC 3052, Australia",pubmed,0
245,32409451,U.S. 'Warp Speed' vaccine effort comes out of the shadows.,NA,11/06/2020,10.1126/science.368.6492.692,Jon Cohen,NA,pubmed,0
246,32407706,SARS-CoV-2: A New Song Recalls an Old Melody.,"The viruses causing the SARS outbreak of 2002-2003 and current COVID-19 pandemic are related betacoronaviruses. What insights were learned from SARS that can inform SARS-CoV-2 vaccine development? Focusing on important lessons from SARS vaccine development and two SARS vaccines evaluated in humans may guide SARS-CoV-2 vaccine design, testing, and implementation.",18/05/2020,10.1016/j.chom.2020.04.019,Kanta Subbarao,"WHO Collaborating Centre for Reference and Research on Influenza and Department of Microbiology and Immunology, University of Melbourne at The Peter Doherty Institute for Infection and Immunity, 792 Elizabeth Street, Melbourne, VIC 3000, Australia. Electronic address: kanta.subbarao@influenzacenter",pubmed,0
247,32407539,Clinical Trials for COVID-19: Can we Better Use the Short Window of Opportunity?,"The scientific community has risen to the coronavirus disease 2019 (COVID-19) challenge, coming up with an impressive list of candidate drugs and vaccines targeting an array of pharmacological and immunological mechanisms. Yet, generating clinical evidence of efficacy and safety of these candidate treatments may be frustrated by the absence of comprehensive trial coordination mechanisms. Many small stand-alone trials and observational studies of single-agent interventions are currently running o",19/09/2020,10.1002/cpt.1891,Hans-Georg Eichler,"European Medicines Agency (EMA), Amsterdam, The Netherlands",pubmed,0
248,32406317,Potential anti-viral activity of approved repurposed drug against main protease of SARS-CoV-2: an <i>in silico</i> based approach.,"The Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) which was first reported in Wuhan province of China, has become a deadly pandemic causing alarmingly high morbidity and mortality. In the absence of new targeted drugs and vaccines against SARS-CoV-2 at present, the choices for effective treatments are limited. Therefore, considering the exigency of the situation, we focused on identifying the available approved drugs as potential inhibitor against the promising Coronavirus drug ta",25/05/2020,10.1080/07391102.2020.1768902,Saurov Mahanta,"National Institute of Electronics and Information Technology (NIELIT), Guwahati, Guwahati, Assam, India",pubmed,0
249,32406253,Bacillus Calmette Gu..rin (BCG) vaccination use in the fight against COVID-19 - what's old is new again?,NA,06/07/2020,10.2217/fon-2020-0381,Ellen O'Connor,"Department of Surgery, University of Melbourne, Austin Hospital, Heidelberg, Melbourne, Victoria, Australia",pubmed,0
250,32404020,COVID-19: The race for a vaccine.,NA,10/06/2020,10.1177/1470320320926902,Emily Lockey,"Fieldfisher LLP, UK",pubmed,0
251,32397182,Influenza Virus Like Particles (VLPs): Opportunities for H7N9 Vaccine Development.,"In the midst of the ongoing COVID-19 coronavirus pandemic, influenza virus remains a major threat to public health due to its potential to cause epidemics and pandemics with significant human mortality. Cases of H7N9 human infections emerged in eastern China in 2013 and immediately raised pandemic concerns as historically, pandemics were caused by the introduction of new subtypes into immunologically na..ve human populations. Highly pathogenic H7N9 cases with severe disease were reported recentl",19/05/2020,10.3390/v12050518,Peter Pushko,"Medigen, Inc., 8420 Gas House Pike, Suite S, Frederick, MD 21701, USA",pubmed,0
252,32396996,Immune response to SARS-CoV-2 and mechanisms of immunopathological changes in COVID-19.,"As a zoonotic disease that has already spread globally to several million human beings and possibly to domestic and wild animals, eradication of coronavirus disease 2019 (COVID-19) appears practically impossible. There is a pressing need to improve our understanding of the immunology of this disease to contain the pandemic by developing vaccines and medicines for the prevention and treatment of patients. In this review, we aim to improve our understanding on the immune response and immunopatholo",03/08/2020,10.1111/all.14364,Ahmet Kursat Azkur,"Department of Virology, Faculty of Veterinary Medicine, University of Kirikkale, Kirikkale, Turkey",pubmed,0
253,32394841,COVID-19: An Update on Clinical Trials.,NA,27/08/2020,10.2174/1568026620999200511092332,Yogesh Kumar,"Department of Chemistry Bhagini Nivedita College University of Delhi Delhi-110043, India",pubmed,0
254,32393664,Hydroxychloroquine in Patients with Rheumatic Disease Complicated by COVID-19: Clarifying Target Exposures and the Need for Clinical Trials.,"To characterize hydroxychloroquine (HCQ) exposure in patients with rheumatic disease receiving longterm HCQ compared to target concentrations with reported antiviral activity against the coronavirus disease 2019 caused by SARS-CoV-2 (COVID-19). We evaluated total HCQ concentrations in serum and plasma from published literature values, frozen serum samples from a pediatric systemic lupus erythematosus trial, and simulated concentrations using a published pharmacokinetic model during pregnancy. Fo",19/06/2020,10.3899/jrheum.200493,Stephen J Balevic,"From the Department of Rheumatology and Immunology, Duke University School of Medicine, Durham, North Carolina, USA",pubmed,0
255,32393526,A strategic approach to COVID-19 vaccine R&amp;D.,NA,02/06/2020,10.1126/science.abc5312,Lawrence Corey,"Vaccine and Infectious Disease Division, Fred Hutchinson Cancer Research Center, Seattle, WA 98109, USA",pubmed,0
256,32387332,"Current development of COVID-19 diagnostics, vaccines and therapeutics.","A novel coronavirus, designated as SARS-CoV-2, first emerged in Wuhan City, Hubei Province, China, in late December 2019. The rapidly increasing number of cases has caused worldwide panic. In this review, we describe some currently applied diagnostic approaches, as well as therapeutics and vaccines, to prevent, treat and control further outbreaks of SARS-CoV-2 infection.",14/08/2020,10.1016/j.micinf.2020.05.001,Naru Zhang,"Department of Clinical Medicine, School of Medicine, Zhejiang University City College, Hangzhou, China",pubmed,0
257,32387011,"Tortoises, hares, and vaccines: A cautionary note for SARS-CoV-2 vaccine development.",NA,22/05/2020,10.1016/j.vaccine.2020.04.073,Gregory A Poland,"Mayo Vaccine Research Group, 611C Guggenheim Building, Mayo Clinic and Foundation, Rochester, MN 55905, USA. Electronic address: poland.gregory@mayo",pubmed,0
258,32381692,Combination prevention for COVID-19.,NA,12/05/2020,10.1126/science.abc5798,Myron S Cohen,"Myron S. Cohen is a professor in the Department of Medicine, Division of Infectious Diseases, and The Institute for Global Health and Infectious Diseases at the University of North Carolina at Chapel Hill, Chapel Hill, NC, USA. mscohen@med.unc",pubmed,0
259,32380316,Convalescent plasma in Covid-19: Possible mechanisms of action.,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is responsible of the coronavirus disease 2019 (COVID-19) pandemic. Therapeutic options including antimalarials, antivirals, and vaccines are under study. Meanwhile the current pandemic has called attention over old therapeutic tools to treat infectious diseases. Convalescent plasma (CP) constitutes the first option in the current situation, since it has been successfully used in other coronaviruses outbreaks. Herein, we discuss the po",10/06/2020,10.1016/j.autrev.2020.102554,Manuel Rojas,"Center for Autoimmune Diseases Research (CREA), School of Medicine and Health Sciences, Universidad del Rosario, Bogota, Colombia",pubmed,0
260,32378805,COVID-19 and toxicity from potential treatments: Panacea or poison.,"Since December 2019, coronavirus disease (COVID-19) has been increasingly spreading from its origin in Wuhan, China to many countries around the world eventuating in morbidity and mortality affecting millions of people. This pandemic has proven to be a challenge given that there is no immediate cure, no vaccine is currently available and medications or treatments being used are still undergoing clinical trials. There have already been examples of self-medication and overdose. Clearly, there is a",05/08/2020,10.1111/1742-6723.13537,Anselm Wong,"Victorian Poisons Information Centre, Austin Toxicology Unit and Emergency Department, Austin Health, Melbourne, Victoria, Australia",pubmed,0
261,32376359,Design of a peptide-based subunit vaccine against novel coronavirus SARS-CoV-2.,"Coronavirus disease 2019 (COVID-19) is an emerging infectious disease that was first reported in Wuhan, China, and has subsequently spread worldwide. In the absence of any antiviral or immunomodulatory therapies, the disease is spreading at an alarming rate. A possibility of a resurgence of COVID-19 in places where lockdowns have already worked is also developing. Thus, for controlling COVID-19, vaccines may be a better option than drugs. An mRNA-based anti-COVID-19 candidate vaccine has entered",18/06/2020,10.1016/j.micpath.2020.104236,Parismita Kalita,"Molecular and Structural Biophysics Laboratory, Department of Biochemistry, North-Eastern Hill University, Shillong, 793022, India",pubmed,0
262,32375002,Deconvoluting Lipid Nanoparticle Structure for Messenger RNA Delivery.,"Lipid nanoparticle (LNP) packaged mRNA vaccines have been deployed against infectious diseases such as COVID-19, yet their structural features remain unclear. Cholesterol, a major constituent within LNPs, contributes to their morphology that influences gene delivery. Herein, we examine the structure of LNPs containing cholesterol derivatives using electron microscopy, differential scanning calorimetry, and membrane fluidity assays. LNPs formulated with C24 alkyl derivatives of cholesterol show a",23/06/2020,10.1021/acs.nanolett.0c01386,Yulia Eygeris,"Department of Pharmaceutical Sciences, College of Pharmacy, Oregon State University, Portland, Oregon 97201, United States",pubmed,0
263,32366816,An Evidence Based Perspective on mRNA-SARS-CoV-2 Vaccine Development.,"The first outbreak of coronavirus disease 2019 (COVID-19) caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) occurred in Wuhan, Hubei Province, China, in late 2019. The subsequent COVID-19 pandemic rapidly affected the health and economy of the world. The global approach to the pandemic was to isolate populations to reduce the spread of this deadly virus while vaccines began to be developed. In March 2020, the first phase I clinical trial of a novel lipid nanoparticle (LN",06/05/2020,10.12659/MSM.924700,Fuzhou Wang,"Group of Neuropharmacology and Neurophysiology, Division of Neuroscience, The Bonoi Academy of Science and Education, Chapel Hill, NC, USA",pubmed,0
264,32365191,Balancing Expediency and Scientific Rigor in Severe Acute Respiratory Syndrome Coronavirus 2 Vaccine Development.,NA,07/07/2020,10.1093/infdis/jiaa234,Kevin W Graepel,"Vanderbilt University School of Medicine, Nashville, Tennessee, USA",pubmed,0
265,32363221,"An overview of coronaviruses including the SARS-2 coronavirus - Molecular biology, epidemiology and clinical implications.","Coronavirus infections have emerged as epidemic and pandemic threats in last two decades. After the H1N1 influenza pandemic in 2009, recently diagnosed novel betacoronavirus or severe acute respiratory syndrome coronavirus (SARS-CoV)-2 has spread across 203 countries and territories in all 5 major continents. World Health Organization (WHO) declared this as a public health emergency of international concern on January 30, 2020. Subsequently on February 11, 2020 a new name was given to this disea",25/08/2020,10.1016/j.cmrp.2020.04.001,Dinesh Kaul,"Pediatric Infectious Diseases, Department of Pediatrics, Sir Ganga Ram Hospital, New Delhi -110060, India",pubmed,0
266,32359402,Considering BCG vaccination to reduce the impact of COVID-19.,NA,19/05/2020,10.1016/S0140-6736(20)31025-4,Nigel Curtis,"Department of Paediatrics, The University of Melbourne, Parkville, VIC, Australia",pubmed,0
267,32355008,COVID-19 shot protects monkeys.,NA,05/05/2020,10.1126/science.368.6490.456,Jon Cohen,NA,pubmed,0
268,32350928,Rethinking the role of hydroxychloroquine in the treatment of COVID-19.,"There are currently no proven or approved treatments for coronavirus disease 2019 (COVID-19). Early anecdotal reports and limited..in vitro data led to the significant uptake of hydroxychloroquine (HCQ), and to lesser extent chloroquine (CQ), for many patients with this disease. As an increasing number of patients with COVID-19 are treated with these agents and more evidence accumulates, there continues to be no high-quality clinical data showing a clear benefit of these agents for this disease.",06/05/2020,10.1096/fj.202000919,Eric A Meyerowitz,"Division of Infectious Diseases, Massachusetts General Hospital (MGH) and Harvard Medical School (HMS), Boston, MA, USA",pubmed,0
269,32350686,Anti COVID-19 Drugs: Need for More Clinical Evidence and Global Action.,"The World Health Organization (WHO) called the outbreak of coronavirus infectious disease-2019 (COVID-19) a &quot;Public Health Emergency of International Concern&quot; (PHEIC). According to the WHO, Centers for Disease Control and Prevention (CDC), and the US Food and Drug Administration (FDA), currently there are no medicines or vaccines that have been claimed to be useful in the prevention or treatment of COVID-19. Several existing antiviral drugs, previously developed or used as treatments f",09/06/2020,10.1007/s12325-020-01351-9,Zakir Khan,"T..bbi Farmakoloji Anabilim Dal.., T..p Fak..ltesi, ..ukurova ..niversitesi, Sar....am, Adana, Turkey. zakirkhan300@gmail",pubmed,0
270,32350002,Treatment of patients with nonsevere and severe coronavirus disease 2019: an evidence-based guideline.,NA,06/07/2020,10.1503/cmaj.200648,Zhikang Ye,"Department of Health Research Methods, Evidence and Impact Canada (Ye, Rochwerg, Guyatt, Colunga-Lozano) and of Medicine (Rochwerg), McMaster University, Hamilton, Ont.",pubmed,0
271,32348598,"Review article: prevention, diagnosis and management of COVID-19 in the IBD patient.","The current COVID-19 pandemic, caused by SARS-CoV-2, has emerged as a public health emergency. All nations are seriously challenged as the virus spreads rapidly across the globe with no regard for borders. The primary management of IBD involves treating uncontrolled inflammation with most patients requiring immune-based therapies. However, these therapies may weaken the immune system and potentially place IBD patients at increased risk of infections and infectious complications including those f",22/06/2020,10.1111/apt.15779,Aysha H Al-Ani,"Department of Gastroenterology, The Royal Melbourne Hospital, Melbourne, Vic., Australia",pubmed,0
272,32346094,COVID-19 vaccine design: the Janus face of immune enhancement.,NA,15/06/2020,10.1038/s41577-020-0323-4,Peter J Hotez,"Texas Children's Center for Vaccine Development, Houston, TX, USA. hotez@bcm",pubmed,0
273,32344853,Searching for SARS-COV-2 on Particulate Matter: A Possible Early Indicator of COVID-19 Epidemic Recurrence.,"A number of nations were forced to declare a total shutdown due to COVID-19 infection, as extreme measure to cope with dramatic impact of the pandemic, with remarkable consequences both in terms of negative health outcomes and economic loses. However, in many countries a &quot;Phase-2&quot; is approaching and many activities will re-open soon, although with some differences depending on the severity of the outbreak experienced and SARS-COV-2 estimated diffusion in the general population. At the ",06/05/2020,10.3390/ijerph17092986,Leonardo Setti,"Department of Industrial Chemistry, University of Bologna, 40136 Bologna, Italy",pubmed,0
274,32344202,Impact of immune enhancement on Covid-19 polyclonal hyperimmune globulin therapy and vaccine development.,"The pandemic spread of a novel coronavirus - SARS coronavirus-2 (SARS-CoV-2) as a cause of acute respiratory illness, named Covid-19, is placing the healthcare systems of many countries under unprecedented stress. Global economies are also spiraling towards a recession in fear of this new life-threatening disease. Vaccines that prevent SARS-CoV-2 infection and therapeutics that reduces the risk of severe Covid-19 are thus urgently needed. A rapid method to derive antiviral treatment for Covid-19",29/05/2020,10.1016/j.ebiom.2020.102768,Ruklanthi de Alwis,"Program in Emerging Infectious Diseases, Duke-NUS Medical School, Singapore",pubmed,0
275,32343658,Medication for COVID-19-an Overview of Approaches Currently Under Study.,"With the worldwide spread of SARS-CoV-2 infection, it is becoming increasingly urgent to develop a vaccine to prevent COVID-19, as well as effective drugs to treat it. This article is based on a selective literature search in PubMed and ClinicalTrials.gov, followed by an assessment of the ongoing clinical trials that were revealed by the search. A number of substances have been found to prevent the reproduction of SARS-CoV-2 in vitro. These include virustatic agents that have already been approv",01/05/2020,10.3238/arztebl.2020.0213,Ralf Stahlmann,"Institute for Clinical Pharmacology and Toxicology,Charit..-Universit..tsmedizin Berlin",pubmed,0
276,32341719,Covid-19 pandemic by the &quot;real-time&quot; monitoring: the Tunisian case and lessons for global epidemics in the context of 3PM strategies.,"Covid-19 is neither the first nor the last viral epidemic which societies around the world are, were and will be affected by. Which lessons should be taken from the current pandemic situation? The Covid-19 disease is still not well characterised, and many research teams all over the world are working on prediction of the epidemic scenario, protective measures to populations and sub-populations, therapeutic and vaccination issues, amongst others. Contextually, countries with currently low numbers",09/09/2020,10.1007/s13167-020-00207-0,Lotfi Chaari,"University of Toulouse, IRIT - INP-ENSEEIHT (UMR 5505), 2 rue Charles Camichel, BP 7122 Toulouse Cedex 7, France",pubmed,0
277,32341531,Could BCG be used to protect against COVID-19?,NA,16/06/2020,10.1038/s41585-020-0325-9,Gil Redelman-Sidi,"Division of Infectious Diseases, Memorial Sloan Kettering Cancer Center, New York, NY, USA. redelmag@mskcc",pubmed,0
278,32338347,COVID-19 in Children: Clinical Approach and Management.,"COVID-19 pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a major public health crisis threatening humanity at this point in time. Transmission of the infection occurs by inhalation of infected droplets or direct contact with soiled surfaces and fomites. It should be suspected in all symptomatic children who have undertaken international travel in the last 14 d, all hospitalized children with severe acute respiratory illness, and asymptomatic direct and high-ris",19/05/2020,10.1007/s12098-020-03292-1,Jhuma Sankar,"Department of Pediatrics, All India Institute of Medical Sciences, New Delhi, 110029, India",pubmed,0
279,32330122,Panic prescribing has become omnipresent during the COVID-19 pandemic.,NA,11/06/2020,10.1172/JCI139562,Arthur L Caplan,"Division of Medical Ethics, New York University Grossman School of Medicine, New York, New York, USA",pubmed,0
280,32327600,Against pandemic research exceptionalism.,NA,12/05/2020,10.1126/science.abc1731,Alex John London,"Center for Ethics and Policy, Carnegie Mellon University, Pittsburgh, PA, USA",pubmed,0
281,32327575,NIH organizes hunt for drugs.,NA,14/05/2020,10.1126/science.368.6489.351,Jocelyn Kaiser,NA,pubmed,0
282,32325038,"Safety and immunogenicity of a candidate Middle East respiratory syndrome coronavirus viral-vectored vaccine: a dose-escalation, open-label, non-randomised, uncontrolled, phase 1 trial.","Cases of Middle East respiratory syndrome coronavirus (MERS-CoV) infection continue to rise in the Arabian Peninsula 7 years after it was first described in Saudi Arabia. MERS-CoV poses a significant risk to public health security because of an absence of currently available effective countermeasures. We aimed to assess the safety and immunogenicity of the candidate simian adenovirus-vectored vaccine expressing the full-length spike surface glycoprotein, ChAdOx1 MERS, in humans. This dose-escala",09/09/2020,10.1016/S1473-3099(20)30160-2,Pedro M Folegatti,"The Jenner Institute, Nuffield Department of Medicine, University of Oxford, Oxford, UK",pubmed,0
283,32325037,"Safety and immunogenicity of a modified vaccinia virus Ankara vector vaccine candidate for Middle East respiratory syndrome: an open-label, phase 1 trial.","The Middle East respiratory syndrome coronavirus (MERS-CoV) causes a respiratory disease with a case fatality rate of up to 35%. Given its potential to cause a public health emergency and the absence of efficacious drugs or vaccines, MERS is one of the WHO priority diseases warranting urgent research and development of countermeasures. We aimed to assess safety and tolerability of an anti-MERS-CoV modified vaccinia virus Ankara (MVA)-based vaccine candidate that expresses the MERS-CoV spike glyc",09/09/2020,10.1016/S1473-3099(20)30248-6,Till Koch,"First Department of Medicine, Division of Infectious Diseases, University Medical Center Hamburg-Eppendorf, Hamburg, Germany",pubmed,0
284,32320592,Audio Interview: Approaches to Covid-19 Vaccines and Antivirals.,NA,27/04/2020,10.1056/NEJMe2012889,Eric J Rubin,NA,pubmed,0
285,32318706,Multicenter initial guidance on use of antivirals for children with COVID-19/SARS-CoV-2.,"Although Coronavirus Disease 2019 (COVID-19) is mild in nearly all children, a small proportion of pediatric patients develops severe or critical illness. Guidance is therefore needed regarding use of agents with potential activity against severe acute respiratory syndrome coronavirus 2 in pediatrics. A panel of pediatric infectious diseases physicians and pharmacists from 18 geographically diverse North American institutions was convened. Through a series of teleconferences and web-based survey",14/05/2020,10.1093/jpids/piaa045,Kathleen Chiotos,"Department of Anesthesia and Critical Care Medicine, Division of Critical Care Medicine, Children's Hospital of Philadelphia, Philadelphia, United States",pubmed,0
286,32317431,Therapeutic opportunities to manage COVID-19/SARS-CoV-2 infection: Present and future.,"A severe form of respiratory disease - COVID-19, caused by SARS-CoV-2 infection, has evolved into a pandemic resulting in significant morbidity and mortality. The unabated spread of the disease is due to lack of vaccine and effective therapeutic agents against this novel virus. Hence, the situation demands an immediate need to explore all the plausible therapeutic and prophylactic strategies that can be made available to stem the spread of the disease. Towards this effort, the current review out",27/04/2020,10.4103/ijo.IJO_639_20,Rohit Shetty,"Narayana Nethralaya, Bangalore, Karnataka, India",pubmed,0
